,index,f1,f2,f3,f4,f5,f6,f7,f8,clear,y
246,246,279.0,354.0,480.0,567.0,764.0,706.0,876.0,974.0,5791.0,0.0
229,229,268.0,336.0,446.0,549.0,715.0,700.0,842.0,954.0,5264.0,0.0
180,180,269.0,382.0,483.0,664.0,774.0,850.0,1083.0,1308.0,5917.0,0.0
181,181,326.0,423.0,583.0,737.0,929.0,1029.0,1248.0,1512.0,7718.0,0.0
158,158,244.0,300.0,373.0,511.0,615.0,692.0,734.0,884.0,4418.0,0.0
243,243,272.0,347.0,471.0,559.0,744.0,701.0,851.0,957.0,5630.0,0.0
247,247,279.0,357.0,476.0,568.0,751.0,707.0,877.0,986.0,5710.0,0.0
160,160,262.0,315.0,399.0,547.0,659.0,757.0,837.0,997.0,4237.0,0.0
156,156,232.0,279.0,355.0,484.0,572.0,631.0,696.0,795.0,3792.0,0.0
176,176,252.0,316.0,398.0,534.0,665.0,705.0,779.0,930.0,4376.0,0.0
233,233,263.0,333.0,438.0,541.0,707.0,704.0,813.0,947.0,5031.0,0.0
228,228,265.0,331.0,441.0,542.0,714.0,699.0,832.0,947.0,5219.0,0.0
129,129,322.0,447.0,570.0,727.0,919.0,997.0,1306.0,1521.0,7792.0,0.0
572,572,235.0,300.0,362.0,484.0,559.0,592.0,643.0,740.0,3901.0,1.0
472,472,240.0,311.0,405.0,528.0,630.0,702.0,842.0,990.0,3854.0,1.0
47,47,337.0,443.0,524.0,663.0,784.0,949.0,946.0,1292.0,6253.0,1.0
67,67,361.0,489.0,581.0,727.0,965.0,1085.0,1060.0,1353.0,7678.0,1.0
491,491,239.0,290.0,389.0,490.0,610.0,685.0,779.0,918.0,4067.0,1.0
260,260,475.0,626.0,871.0,1023.0,1308.0,1397.0,1791.0,2207.0,8475.0,1.0
421,421,307.0,438.0,546.0,712.0,852.0,822.0,1032.0,1091.0,6841.0,1.0
31,31,289.0,348.0,446.0,596.0,724.0,862.0,1016.0,1186.0,4851.0,1.0
346,346,301.0,402.0,481.0,632.0,735.0,847.0,874.0,1096.0,6570.0,1.0
90,90,301.0,369.0,442.0,582.0,734.0,785.0,809.0,962.0,5397.0,1.0
612,612,248.0,311.0,385.0,510.0,624.0,685.0,741.0,887.0,3988.0,1.0
473,473,240.0,313.0,406.0,536.0,630.0,710.0,845.0,990.0,3764.0,1.0
119,119,344.0,454.0,570.0,710.0,839.0,944.0,1004.0,1224.0,6707.0,1.0
