,index,f1,f2,f3,f4,f5,f6,f7,f8,clear,tipo
74,74,378.0,480.0,591.0,736.0,931.0,1014.0,1076.0,1303.0,9209.0,0.0
45,45,349.0,452.0,561.0,718.0,862.0,933.0,1014.0,1339.0,6755.0,0.0
48,48,334.0,535.0,545.0,870.0,843.0,1138.0,1374.0,1363.0,6783.0,0.0
31,31,289.0,348.0,446.0,596.0,724.0,862.0,1016.0,1186.0,4851.0,0.0
65,65,392.0,504.0,652.0,765.0,984.0,1103.0,1105.0,1377.0,7689.0,0.0
66,66,365.0,482.0,573.0,732.0,870.0,1018.0,976.0,1284.0,7114.0,0.0
118,118,350.0,468.0,577.0,709.0,841.0,981.0,1021.0,1262.0,6608.0,0.0
100,100,299.0,425.0,493.0,709.0,788.0,954.0,942.0,1209.0,6346.0,0.0
272,272,452.0,597.0,820.0,936.0,1180.0,1257.0,1628.0,2043.0,8756.0,1.0
308,308,430.0,535.0,691.0,952.0,1095.0,1248.0,1579.0,1795.0,8077.0,1.0
263,263,438.0,580.0,775.0,956.0,1221.0,1266.0,1636.0,2038.0,8947.0,1.0
321,321,437.0,528.0,691.0,885.0,1044.0,1197.0,1491.0,1786.0,7817.0,1.0
306,306,407.0,521.0,687.0,905.0,1079.0,1176.0,1553.0,1736.0,8282.0,1.0
279,279,405.0,575.0,703.0,1016.0,1140.0,1365.0,1751.0,1979.0,8439.0,1.0
292,292,427.0,536.0,689.0,950.0,1067.0,1281.0,1506.0,1843.0,8301.0,1.0
307,307,418.0,528.0,686.0,942.0,1093.0,1246.0,1574.0,1781.0,8238.0,1.0
502,502,238.0,301.0,387.0,503.0,589.0,653.0,744.0,866.0,3878.0,2.0
359,359,342.0,472.0,581.0,699.0,854.0,994.0,1044.0,1365.0,7430.0,2.0
414,414,317.0,428.0,536.0,674.0,794.0,830.0,961.0,1190.0,6903.0,2.0
441,441,343.0,502.0,641.0,798.0,910.0,927.0,1077.0,1178.0,6892.0,2.0
392,392,285.0,370.0,452.0,582.0,676.0,720.0,773.0,969.0,5122.0,2.0
445,445,318.0,444.0,569.0,716.0,1014.0,855.0,1194.0,1081.0,8192.0,2.0
387,387,271.0,340.0,412.0,531.0,612.0,651.0,696.0,848.0,4648.0,2.0
364,364,351.0,482.0,589.0,737.0,842.0,961.0,1072.0,1285.0,6879.0,2.0
605,605,272.0,342.0,430.0,553.0,696.0,722.0,795.0,981.0,4841.0,3.0
625,625,268.0,345.0,440.0,557.0,710.0,759.0,852.0,1065.0,4563.0,3.0
590,590,275.0,356.0,429.0,584.0,709.0,762.0,815.0,1042.0,4861.0,3.0
602,602,242.0,298.0,363.0,472.0,556.0,622.0,678.0,786.0,3787.0,3.0
634,634,326.0,404.0,501.0,665.0,829.0,921.0,933.0,1229.0,5825.0,3.0
621,621,257.0,326.0,402.0,530.0,642.0,712.0,750.0,937.0,3984.0,3.0
607,607,266.0,325.0,415.0,536.0,666.0,732.0,782.0,954.0,4644.0,3.0
599,599,266.0,341.0,420.0,541.0,669.0,703.0,770.0,952.0,4569.0,3.0
