,index,f1,f2,f3,f4,f5,f6,f7,f8,clear,y,tipo
226,226,265.0,329.0,438.0,544.0,703.0,706.0,824.0,954.0,5122.0,0.0,4.0
173,173,273.0,333.0,417.0,573.0,698.0,752.0,813.0,1005.0,4505.0,0.0,4.0
188,188,304.0,416.0,497.0,663.0,781.0,819.0,914.0,1145.0,5634.0,0.0,4.0
215,215,272.0,338.0,453.0,568.0,724.0,722.0,859.0,970.0,5265.0,0.0,4.0
201,201,282.0,339.0,453.0,557.0,742.0,753.0,844.0,977.0,5710.0,0.0,4.0
241,241,271.0,345.0,462.0,555.0,738.0,705.0,836.0,964.0,5593.0,0.0,4.0
205,205,339.0,435.0,550.0,713.0,917.0,901.0,1048.0,1251.0,6926.0,0.0,4.0
190,190,322.0,438.0,538.0,771.0,892.0,881.0,1194.0,1285.0,6628.0,0.0,4.0
164,164,259.0,302.0,386.0,539.0,630.0,728.0,804.0,944.0,4102.0,0.0,4.0
167,167,260.0,316.0,389.0,551.0,642.0,719.0,770.0,942.0,4387.0,0.0,4.0
197,197,300.0,367.0,472.0,597.0,747.0,799.0,904.0,1060.0,5944.0,0.0,4.0
227,227,265.0,335.0,439.0,549.0,702.0,701.0,834.0,949.0,5182.0,0.0,4.0
127,127,306.0,413.0,545.0,700.0,850.0,916.0,1098.0,1448.0,6430.0,0.0,4.0
209,209,280.0,354.0,468.0,585.0,773.0,753.0,871.0,1023.0,5878.0,0.0,4.0
244,244,274.0,345.0,471.0,556.0,755.0,696.0,864.0,952.0,5573.0,0.0,4.0
185,185,284.0,359.0,446.0,622.0,725.0,807.0,870.0,1032.0,5101.0,0.0,4.0
236,236,262.0,332.0,444.0,538.0,708.0,679.0,832.0,924.0,5307.0,0.0,4.0
232,232,267.0,337.0,447.0,553.0,715.0,701.0,841.0,956.0,5212.0,0.0,4.0
225,225,279.0,328.0,464.0,532.0,696.0,698.0,827.0,932.0,4995.0,0.0,4.0
171,171,268.0,337.0,411.0,588.0,690.0,770.0,807.0,1021.0,4689.0,0.0,4.0
