Function,Sample num,F1 (410nm),F2 (440nm),F3 (470nm),F4 (510nm),F5 (550nm),F6 (583nm),F7 (620nm),F8 (670nm),CLEAR,SAIDA
Raw data,1,366,471,632,796,999,967,1326,1532,7318,1
Raw data,2,336,459,595,811,987,953,1356,1478,7284,1
Raw data,3,333,470,610,849,992,958,1472,1487,7427,1
Raw data,4,337,453,589,774,933,949,1316,1406,6916,1
Raw data,5,329,454,585,783,948,951,1311,1490,6953,1
Raw data,6,334,467,590,774,957,952,1272,1443,6655,1
Raw data,7,335,454,584,775,1030,961,1375,1502,7846,1
Raw data,8,318,444,566,759,915,959,1297,1398,6033,1
Raw data,9,308,440,579,750,954,1046,1304,1535,6994,1
Raw data,10,332,456,598,797,1006,1093,1387,1689,7745,1
Raw data,11,345,470,614,784,1052,1049,1344,1586,7287,1
Raw data,12,324,429,572,748,953,1074,1317,1582,7045,1
Raw data,13,332,446,582,775,952,1035,1283,1553,6640,1
Raw data,14,308,419,530,691,865,958,1158,1409,6515,1
Raw data,15,287,384,482,653,787,864,1031,1201,5123,1
Raw data,16,281,373,461,623,780,842,996,1168,5084,1
Raw data,17,278,371,462,633,791,868,1023,1222,5061,1
Raw data,18,294,376,470,665,788,883,1026,1225,5219,1
Raw data,19,323,414,549,727,925,981,1207,1468,4926,1
Raw data,20,287,345,440,586,738,875,1053,1251,5067,1
Raw data,21,298,361,453,617,749,889,1062,1240,4879,1
Raw data,22,295,359,451,618,738,873,1048,1235,4806,1
Raw data,23,295,360,450,603,753,870,1042,1211,4932,1
Raw data,24,290,348,440,598,714,857,990,1173,4792,1
Raw data,25,300,370,471,637,807,950,1128,1295,5567,1
Raw data,26,318,396,506,684,831,967,1156,1326,5476,1
Raw data,27,292,354,450,608,733,875,1025,1199,4855,1
Raw data,28,289,347,442,597,721,851,1003,1170,4782,1
Raw data,29,286,346,437,591,716,850,990,1174,4800,1
Raw data,30,289,348,443,594,721,857,1003,1183,4795,1
Raw data,31,291,350,446,599,727,863,1019,1192,4784,1
Raw data,32,289,348,446,596,724,862,1016,1186,4851,1
Raw data,33,295,357,460,614,744,879,1042,1220,4928,1
Raw data,34,290,350,447,600,726,865,1021,1193,4775,1
Raw data,35,287,350,445,598,722,862,1020,1195,4764,1
Raw data,36,288,349,445,598,722,862,1021,1194,4771,1
Raw data,37,289,347,443,596,713,863,996,1181,4785,1
Raw data,38,291,349,447,599,726,864,1020,1191,4783,1
Raw data,39,380,444,603,716,862,838,1116,1431,7397,1
Raw data,40,331,429,519,699,801,909,965,1230,6406,1
Raw data,41,337,449,534,742,854,913,1027,1386,6541,1
Raw data,42,339,440,549,719,851,891,1084,1245,6338,1
Raw data,43,340,448,561,754,854,897,1126,1295,6529,1
Raw data,44,337,436,532,719,840,911,1004,1233,6632,1
Raw data,45,349,455,550,733,852,933,1031,1315,6910,1
Raw data,46,349,452,561,718,862,933,1014,1339,6755,1
Raw data,47,348,447,565,727,880,919,1038,1275,7365,1
Raw data,48,337,443,524,663,784,949,946,1292,6253,1
Raw data,49,334,535,545,870,843,1138,1374,1363,6783,1
Raw data,50,305,402,475,618,787,863,995,1118,6170,1
Raw data,51,355,480,562,708,829,1002,1009,1341,5962,1
Raw data,52,293,397,464,620,738,839,903,1111,5594,1
Raw data,53,304,439,492,632,767,877,924,1234,5433,1
Raw data,54,287,377,446,575,672,783,824,1010,5012,1
Raw data,55,293,395,450,586,689,870,883,1106,5437,1
Raw data,56,299,413,499,632,721,854,894,1154,5934,1
Raw data,57,305,424,511,629,805,846,970,1212,7089,1
Raw data,58,312,416,487,611,749,897,928,1274,6719,1
Raw data,59,336,419,513,628,813,898,1010,1204,8413,1
Raw data,60,329,440,530,660,900,953,1070,1241,8280,1
Raw data,61,368,512,576,850,885,1123,1183,1500,7802,1
Raw data,62,363,490,586,791,969,1270,1261,1804,8317,1
Raw data,63,375,507,610,761,854,981,978,1216,6585,1
Raw data,64,414,570,646,874,1195,1312,1396,1596,n.n.,1
Raw data,65,435,521,658,816,1014,1135,1154,1450,8361,1
Raw data,66,392,504,652,765,984,1103,1105,1377,7689,1
Raw data,67,365,482,573,732,870,1018,976,1284,7114,1
Raw data,68,361,489,581,727,965,1085,1060,1353,7678,1
Raw data,69,381,489,592,780,909,1009,1046,1293,7249,1
Raw data,70,372,487,583,777,945,1066,1105,1372,8087,1
Raw data,71,374,504,593,758,960,1105,1117,1445,7633,1
Raw data,72,362,472,577,723,917,1071,1031,1298,7713,1
Raw data,73,357,491,550,744,892,1036,1025,1369,7531,1
Raw data,74,370,472,572,731,911,1047,1050,1327,7885,1
Raw data,75,378,480,591,736,931,1014,1076,1303,9209,1
Raw data,76,354,473,541,716,878,991,990,1259,8699,1
Raw data,77,402,518,669,786,1017,1036,1158,1316,9894,1
Raw data,78,376,478,576,734,917,1053,1068,1354,9021,1
Raw data,79,349,458,534,699,866,971,1032,1218,7930,1
Raw data,80,385,528,621,832,1063,1040,1304,1514,9863,1
Raw data,81,363,472,565,751,864,902,1017,1204,6875,1
Raw data,82,339,426,503,676,816,859,910,1057,6059,1
Raw data,83,306,389,460,611,712,758,801,927,5239,1
Raw data,84,292,363,429,571,670,728,762,900,5139,1
Raw data,85,294,365,429,569,684,731,763,898,5126,1
Raw data,86,292,360,429,562,674,721,772,913,4897,1
Raw data,87,292,361,431,568,689,743,801,937,5147,1
Raw data,88,298,368,441,585,703,741,804,910,5466,1
Raw data,89,395,516,651,869,985,1056,1182,1355,6601,1
Raw data,90,322,406,474,638,765,818,829,1014,5711,1
Raw data,91,301,369,442,582,734,785,809,962,5397,1
Raw data,92,294,373,435,579,670,715,768,876,4988,1
Raw data,93,286,352,426,561,668,726,777,927,5164,1
Raw data,94,287,352,419,561,664,723,766,916,5037,1
Raw data,95,313,385,463,614,707,777,816,982,5413,1
Raw data,96,281,342,408,542,649,705,740,874,4954,1
Raw data,97,341,439,536,698,782,842,881,1045,5073,1
Raw data,98,311,407,494,647,812,872,953,1139,5613,1
Raw data,99,287,381,450,588,717,802,866,1031,5280,1
Raw data,100,287,383,456,600,725,901,872,1134,6027,1
Raw data,101,299,425,493,709,788,954,942,1209,6346,1
Raw data,102,331,474,543,679,809,988,977,1229,7002,1
Raw data,103,352,480,610,716,912,1214,1239,1778,7411,1
Raw data,104,366,518,622,781,943,1211,1204,1884,7681,1
Raw data,105,355,501,586,774,865,1116,1194,1723,7585,1
Raw data,106,347,532,579,811,932,1215,1290,1696,7310,1
Raw data,107,333,456,555,714,857,897,1077,1341,7296,1
Raw data,108,336,471,565,748,851,1018,1141,1525,7386,1
Raw data,109,334,467,565,746,885,918,1097,1366,7516,1
Raw data,110,342,487,576,764,894,1101,1158,1608,7357,1
Raw data,111,364,516,598,808,903,1241,1158,1643,7577,1
Raw data,112,374,536,643,804,969,1174,1214,1401,9443,1
Raw data,113,367,556,620,856,977,1157,1264,1599,8782,1
Raw data,114,370,498,648,742,958,1043,1145,1352,8770,1
Raw data,115,345,460,570,708,868,971,1100,1274,8747,1
Raw data,116,385,523,667,824,1006,1120,1238,1430,8869,1
Raw data,117,331,463,533,692,837,979,1058,1271,7789,1
Raw data,118,358,465,610,704,839,954,1021,1271,6548,1
Raw data,119,350,468,577,709,841,981,1021,1262,6608,1
Raw data,120,344,454,570,710,839,944,1004,1224,6707,1
Raw data,121,324,463,537,672,826,941,993,1271,6597,1
Raw data,122,328,458,536,691,827,977,1003,1332,6658,1
Raw data,123,387,524,658,825,919,877,1112,1389,7230,1
Raw data,124,325,433,558,692,859,834,1044,1130,7112,1
Raw data,125,378,509,652,794,1017,927,1174,1520,7605,1
