Function,Sample num,F1 (410nm),F2 (440nm),F3 (470nm),F4 (510nm),F5 (550nm),F6 (583nm),F7 (620nm),F8 (670nm),CLEAR,SAIDA
Raw data,1,260,378,496,636,782,757,994,1207,5787,0
Raw data,2,272,379,504,628,784,717,980,1103,5439,0
Raw data,3,306,413,545,700,850,916,1098,1448,6430,0
Raw data,4,322,437,562,688,949,1059,1180,1457,7987,0
Raw data,5,322,447,570,727,919,997,1306,1521,7792,0
Raw data,6,295,375,503,620,747,794,929,1157,5534,0
Raw data,7,269,354,450,588,712,768,847,1173,5322,0
Raw data,8,281,351,464,583,734,784,838,1164,5813,0
Raw data,9,276,358,468,575,749,792,860,1158,5345,0
Raw data,10,289,372,503,628,800,777,925,1122,5977,0
Raw data,11,278,366,469,614,762,770,915,1111,5920,0
Raw data,12,281,370,483,624,761,770,931,1125,5914,0
Raw data,13,280,368,485,621,758,778,912,1152,5864,0
Raw data,14,284,377,484,638,772,781,926,1138,6101,0
Raw data,15,297,389,534,652,869,787,1019,1208,6903,0
Raw data,16,313,424,543,661,814,901,995,1252,6245,0
Raw data,17,347,467,586,741,994,1095,1148,1500,8569,0
Raw data,18,333,480,543,782,861,1066,995,1536,7170,0
Raw data,19,305,421,506,707,798,829,954,1127,6474,0
Raw data,20,302,420,495,729,791,938,958,1318,5683,0
Raw data,21,299,420,511,738,789,899,956,1167,5813,0
Raw data,22,290,394,474,678,759,858,974,1113,5594,0
Raw data,23,292,375,470,634,752,817,904,1091,5174,0
Raw data,24,294,379,472,650,781,880,974,1177,5419,0
Raw data,25,301,388,482,672,772,831,945,1148,5142,0
Raw data,26,267,367,450,608,729,780,884,1075,6321,0
Raw data,27,339,478,568,765,913,1028,1082,1423,8402,0
Raw data,28,321,398,525,654,837,818,1070,1301,7148,0
Raw data,29,337,399,552,673,820,749,992,1123,5960,0
Raw data,30,272,347,440,608,717,761,867,1094,5101,0
Raw data,31,238,313,401,541,611,651,730,846,4034,0
Raw data,32,232,279,355,484,572,631,696,795,3792,0
Raw data,33,239,303,367,512,643,661,724,853,4259,0
Raw data,34,244,300,373,511,615,692,734,884,4418,0
Raw data,35,251,307,382,535,675,747,832,996,4231,0
Raw data,36,262,315,399,547,659,757,837,997,4237,0
Raw data,37,271,333,426,583,698,800,905,1074,4418,0
Raw data,38,264,328,412,569,647,731,836,990,3880,0
Raw data,39,256,306,383,542,631,718,788,941,4088,0
Raw data,40,259,302,386,539,630,728,804,944,4102,0
Raw data,41,232,285,368,502,580,676,782,885,3874,0
Raw data,42,257,312,388,547,655,739,791,957,4590,0
Raw data,43,260,316,389,551,642,719,770,942,4387,0
Raw data,44,262,311,388,544,639,719,764,926,4384,0
Raw data,45,260,314,385,543,637,723,759,948,4384,0
Raw data,46,267,323,399,561,675,744,787,972,4509,0
Raw data,47,268,337,411,588,690,770,807,1021,4689,0
Raw data,48,265,331,408,580,694,765,824,1024,4707,0
Raw data,49,273,333,417,573,698,752,813,1005,4505,0
Raw data,50,258,311,389,543,620,702,771,925,3883,0
Raw data,51,251,306,394,528,646,740,798,1008,4242,0
Raw data,52,252,316,398,534,665,705,779,930,4376,0
Raw data,53,247,321,403,538,685,702,815,926,4286,0
Raw data,54,258,345,442,591,711,747,887,1039,4677,0
Raw data,55,260,358,454,602,759,770,977,1211,5325,0
Raw data,56,269,382,483,664,774,850,1083,1308,5917,0
Raw data,57,326,423,583,737,929,1029,1248,1512,7718,0
Raw data,58,382,497,666,864,1116,1221,1412,1706,8676,0
Raw data,59,367,511,634,804,902,1016,1101,1288,6605,0
Raw data,60,300,380,473,659,716,814,869,1055,5163,0
Raw data,61,284,359,446,622,725,807,870,1032,5101,0
Raw data,62,297,382,468,649,758,849,883,1085,5367,0
Raw data,63,316,413,511,709,790,912,903,1169,5893,0
Raw data,64,304,416,497,663,781,819,914,1145,5634,0
Raw data,65,327,430,535,733,917,927,1128,1254,7791,0
Raw data,66,322,438,538,771,892,881,1194,1285,6628,0
Raw data,67,314,389,483,623,758,868,913,1138,6017,0
Raw data,68,315,407,507,677,806,877,1003,1173,6740,0
Raw data,69,328,437,545,713,848,966,1069,1418,6904,0
Raw data,70,324,464,548,785,870,939,1097,1224,7272,0
Raw data,71,356,516,572,899,856,997,1004,1562,7243,0
Raw data,72,299,385,476,624,765,815,944,1109,5831,0
Raw data,73,300,367,472,597,747,799,904,1060,5944,0
Raw data,74,305,372,484,604,740,822,882,1103,5911,0
Raw data,75,302,378,487,627,747,811,894,1067,5697,0
Raw data,76,281,335,447,539,696,705,848,915,5699,0
Raw data,77,282,339,453,557,742,753,844,977,5710,0
Raw data,78,309,378,512,618,870,825,1035,1169,7226,0
Raw data,79,336,433,539,712,920,936,1050,1326,7349,0
Raw data,80,363,462,584,750,970,1025,1082,1406,7563,0
Raw data,81,339,435,550,713,917,901,1048,1251,6926,0
Raw data,82,302,379,499,624,776,765,924,1056,5600,0
Raw data,83,278,355,462,582,741,734,892,1009,5356,0
Raw data,84,276,337,448,561,727,737,842,976,5433,0
Raw data,85,280,354,468,585,773,753,871,1023,5878,0
Raw data,86,277,343,465,569,756,721,855,970,5682,0
Raw data,87,273,346,464,567,746,726,860,989,5557,0
Raw data,88,277,346,468,577,747,738,878,1007,5371,0
Raw data,89,274,339,454,560,728,736,885,1010,5247,0
Raw data,90,275,342,456,565,730,733,863,994,5344,0
Raw data,91,272,338,453,568,724,722,859,970,5265,0
Raw data,92,268,339,446,561,718,725,829,969,5295,0
Raw data,93,268,337,450,559,728,725,847,974,5325,0
Raw data,94,269,339,451,558,734,709,832,954,5387,0
Raw data,95,266,340,448,557,728,710,829,966,5336,0
Raw data,96,269,340,456,558,730,712,851,968,5363,0
Raw data,97,266,341,451,557,727,707,839,964,5299,0
Raw data,98,265,339,450,551,726,701,823,951,5437,0
Raw data,99,266,334,443,549,707,704,820,945,5091,0
Raw data,100,273,327,443,534,713,699,859,921,5047,0
Raw data,101,279,328,464,532,696,698,827,932,4995,0
Raw data,102,265,329,438,544,703,706,824,954,5122,0
Raw data,103,265,335,439,549,702,701,834,949,5182,0
Raw data,104,265,331,441,542,714,699,832,947,5219,0
Raw data,105,268,336,446,549,715,700,842,954,5264,0
Raw data,106,265,333,443,543,711,696,828,945,5168,0
Raw data,107,266,335,443,549,711,699,831,952,5223,0
Raw data,108,267,337,447,553,715,701,841,956,5212,0
Raw data,109,263,333,438,541,707,704,813,947,5031,0
Raw data,110,266,334,445,545,711,693,829,939,5152,0
Raw data,111,262,335,439,548,704,691,817,938,5241,0
Raw data,112,262,332,444,538,708,679,832,924,5307,0
Raw data,113,272,348,462,567,746,718,840,976,5642,0
Raw data,114,265,337,453,540,718,694,815,946,5496,0
Raw data,115,270,341,459,546,726,698,837,955,5508,0
Raw data,116,279,356,475,578,763,725,864,993,5719,0
Raw data,117,271,345,462,555,738,705,836,964,5593,0
Raw data,118,274,349,466,563,754,723,844,982,5675,0
Raw data,119,272,347,471,559,744,701,851,957,5630,0
Raw data,120,274,345,471,556,755,696,864,952,5573,0
Raw data,121,278,351,478,560,753,702,864,959,5675,0
Raw data,122,279,354,480,567,764,706,876,974,5791,0
Raw data,123,279,357,476,568,751,707,877,986,5710,0
Raw data,124,275,353,477,563,766,704,885,974,5713,0
Raw data,125,270,345,457,555,731,709,849,963,5515,0
Raw data,126,280,357,465,577,742,735,840,997,5619,0
Raw data,127,271,347,460,556,726,704,844,960,5441,0
Raw data,128,276,350,458,562,736,718,852,977,5569,0
