Function,Sample num,F1 (410nm),F2 (440nm),F3 (470nm),F4 (510nm),F5 (550nm),F6 (583nm),F7 (620nm),F8 (670nm),CLEAR,SAIDA
Raw data,1,458,606,845,1002,1272,1382,1747,2108,8244,1
Raw data,2,456,605,840,1000,1270,1387,1743,2123,8262,1
Raw data,3,460,612,845,1009,1274,1392,1735,2137,8235,1
Raw data,4,460,613,847,1015,1285,1404,1749,2150,8230,1
Raw data,5,476,627,868,1034,1296,1436,1783,2196,8324,1
Raw data,6,473,626,865,1030,1297,1420,1776,2176,8256,1
Raw data,7,475,625,867,1025,1294,1414,1768,2173,8310,1
Raw data,8,475,626,871,1023,1308,1397,1791,2207,8475,1
Raw data,9,510,683,953,1083,1384,1488,1881,2439,9105,1
Raw data,10,454,615,823,962,1215,1297,1704,2141,8318,1
Raw data,11,438,580,775,956,1221,1266,1636,2038,8947,1
Raw data,12,425,548,718,900,1077,1221,1507,1888,8109,1
Raw data,13,453,579,754,1006,1158,1350,1636,1975,9075,1
Raw data,14,472,583,778,1008,1148,1359,1605,2141,8570,1
Raw data,15,436,556,741,935,1112,1244,1559,1925,8278,1
Raw data,16,433,576,756,919,1119,1221,1564,1947,7919,1
Raw data,17,427,567,743,907,1116,1216,1552,1961,8097,1
Raw data,18,428,565,736,913,1094,1217,1534,1920,7988,1
Raw data,19,445,584,773,922,1143,1237,1580,2017,8316,1
Raw data,20,452,597,820,936,1180,1257,1628,2043,8756,1
Raw data,21,496,659,918,1056,1324,1449,1834,2328,8857,1
Raw data,22,452,609,818,949,1218,1289,1679,2141,8541,1
Raw data,23,446,584,819,925,1157,1258,1626,2016,8890,1
Raw data,24,439,567,747,946,1116,1284,1555,1975,8107,1
Raw data,25,435,553,743,939,1129,1256,1587,1901,8344,1
Raw data,26,428,534,710,912,1061,1241,1493,1813,7760,1
Raw data,27,405,575,703,1016,1140,1365,1751,1979,8439,1
Raw data,28,407,570,725,1026,1151,1439,1641,2132,8472,1
Raw data,29,409,570,726,1026,1140,1465,1638,2076,8463,1
Raw data,30,400,582,703,1017,1161,1444,1664,2089,8474,1
Raw data,31,399,548,673,989,1066,1347,1591,1901,7794,1
Raw data,32,416,518,675,897,1054,1217,1478,1772,8273,1
Raw data,33,423,566,689,996,1094,1320,1557,1880,8374,1
Raw data,34,416,546,690,966,1068,1334,1538,1838,8612,1
Raw data,35,414,529,676,959,1060,1313,1573,1879,8307,1
Raw data,36,411,528,676,951,1050,1306,1571,1828,8132,1
Raw data,37,408,520,665,941,1043,1276,1539,1818,7998,1
Raw data,38,410,518,666,927,1044,1232,1514,1736,7993,1
Raw data,39,418,521,672,934,1054,1251,1515,1757,8017,1
Raw data,40,427,536,689,950,1067,1281,1506,1843,8301,1
Raw data,41,431,543,699,960,1081,1276,1540,1820,8318,1
Raw data,42,428,539,697,951,1072,1263,1524,1793,8138,1
Raw data,43,421,522,676,920,1046,1245,1508,1765,8003,1
Raw data,44,419,511,665,911,1035,1233,1491,1750,7949,1
Raw data,45,418,509,667,899,1030,1231,1476,1717,7901,1
Raw data,46,397,500,650,912,1051,1237,1560,1733,7431,1
Raw data,47,400,510,665,919,1046,1279,1498,1790,7272,1
Raw data,48,397,499,670,888,1113,1154,1530,1707,7669,1
Raw data,49,418,510,688,883,1082,1228,1545,1795,7832,1
Raw data,50,429,529,695,910,1065,1232,1527,1828,7753,1
Raw data,51,425,532,704,910,1052,1229,1522,1842,7703,1
Raw data,52,433,521,704,877,1041,1194,1509,1808,8151,1
Raw data,53,424,510,675,910,1037,1196,1520,1695,8040,1
Raw data,54,407,521,687,905,1079,1176,1553,1736,8282,1
Raw data,55,418,528,686,942,1093,1246,1574,1781,8238,1
Raw data,56,430,535,691,952,1095,1248,1579,1795,8077,1
Raw data,57,442,537,697,919,1076,1257,1520,1822,7761,1
Raw data,58,440,538,705,909,1068,1239,1508,1832,7773,1
Raw data,59,430,535,710,890,1058,1211,1501,1816,7789,1
Raw data,60,434,533,708,887,1043,1190,1487,1807,7806,1
Raw data,61,430,531,705,885,1052,1201,1491,1804,7778,1
Raw data,62,436,534,706,896,1056,1220,1505,1820,7836,1
Raw data,63,432,531,702,881,1039,1191,1480,1796,7847,1
Raw data,64,436,529,701,878,1041,1204,1486,1772,7982,1
Raw data,65,438,529,700,878,1038,1194,1486,1797,7809,1
Raw data,66,433,529,702,880,1039,1195,1488,1791,7757,1
Raw data,67,436,528,698,881,1041,1195,1491,1788,7815,1
Raw data,68,435,526,699,876,1039,1194,1489,1793,7778,1
Raw data,69,437,528,691,885,1044,1197,1491,1786,7817,1
Raw data,70,439,527,691,881,1023,1196,1477,1797,8018,1
Raw data,71,435,537,711,881,1022,1196,1472,1822,7954,1
Raw data,72,436,545,722,877,1043,1201,1483,1894,8126,1
