Function,Sample num,F1 (410nm),F2 (440nm),F3 (470nm),F4 (510nm),F5 (550nm),F6 (583nm),F7 (620nm),F8 (670nm),CLEAR,SAIDA
Raw data,1,387,516,625,799,947,946,1145,1379,7544,1
Raw data,2,381,511,618,793,910,940,1139,1342,7780,1
Raw data,3,385,520,617,843,893,928,1099,1317,7750,1
Raw data,4,390,510,635,782,919,949,1108,1324,7526,1
Raw data,5,423,562,674,867,1007,1111,1175,1517,8556,1
Raw data,6,419,573,676,865,999,1135,1196,1649,8815,1
Raw data,7,409,551,660,839,972,1091,1120,1522,8533,1
Raw data,8,409,586,668,902,984,1247,1178,1810,8449,1
Raw data,9,399,534,671,865,955,1039,1126,1408,7180,1
Raw data,10,380,505,598,795,897,994,1010,1299,7096,1
Raw data,11,385,509,606,799,903,995,997,1316,7376,1
Raw data,12,351,461,545,725,808,890,938,1202,7069,1
Raw data,13,382,516,614,825,908,1034,1030,1380,7779,1
Raw data,14,424,607,709,960,1052,1179,1271,1689,9487,1
Raw data,15,409,541,645,833,957,1053,1119,1414,8390,1
Raw data,16,406,550,640,836,946,1078,1113,1496,8110,1
Raw data,17,442,630,701,1015,1104,1350,1295,1937,9279,1
Raw data,18,401,541,663,857,968,1076,1085,1444,7580,1
Raw data,19,317,419,491,659,738,824,862,1100,6284,1
Raw data,20,312,416,493,659,743,819,896,1081,6319,1
Raw data,21,320,429,502,679,738,847,847,1099,6247,1
Raw data,22,301,402,481,632,735,847,874,1096,6570,1
Raw data,23,335,460,548,763,804,921,1001,1233,6750,1
Raw data,24,365,505,588,782,850,1056,984,1381,7135,1
Raw data,25,364,502,588,777,842,1035,985,1393,7281,1
Raw data,26,356,508,584,757,855,1036,1030,1343,7455,1
Raw data,27,365,501,590,761,864,987,1013,1266,7316,1
Raw data,28,384,524,628,784,944,1083,1081,1421,8409,1
Raw data,29,406,557,688,807,946,1031,1089,1393,7953,1
Raw data,30,344,476,558,752,838,933,997,1217,7161,1
Raw data,31,333,438,533,717,798,892,1021,1178,6285,1
Raw data,32,313,449,534,689,812,932,913,1250,6504,1
Raw data,33,330,441,557,665,920,924,1177,1278,7791,1
Raw data,34,313,434,519,655,802,889,945,1200,7865,1
Raw data,35,342,472,581,699,854,994,1044,1365,7430,1
Raw data,36,393,531,663,798,964,1089,1148,1485,7933,1
Raw data,37,377,540,632,782,910,1124,1086,1555,7265,1
Raw data,38,361,485,600,748,884,1014,1100,1354,7368,1
Raw data,39,369,496,600,763,876,1021,1087,1328,6943,1
Raw data,40,351,482,589,737,842,961,1072,1285,6879,1
Raw data,41,336,480,563,720,832,941,1062,1426,7013,1
Raw data,42,328,460,540,697,801,917,975,1294,6874,1
Raw data,43,368,531,651,808,899,1153,1263,1608,7839,1
Raw data,44,364,493,592,775,946,1014,1120,1443,9198,1
Raw data,45,429,594,733,907,1071,1338,1379,1831,9047,1
Raw data,46,449,601,772,904,1078,1185,1264,1568,9707,1
Raw data,47,426,567,761,823,1009,1150,1179,1528,9124,1
Raw data,48,391,534,647,809,964,1091,1187,1494,8166,1
Raw data,49,412,553,666,836,973,1075,1177,1464,8054,1
Raw data,50,411,554,679,831,967,1058,1113,1408,7973,1
Raw data,51,346,472,565,704,826,959,1012,1306,7180,1
Raw data,52,343,471,592,734,873,1009,1068,1347,7551,1
Raw data,53,361,529,649,803,1055,1163,1362,1754,8689,1
Raw data,54,349,497,640,772,870,961,1078,1320,6971,1
Raw data,55,325,486,574,738,808,933,1005,1439,6958,1
Raw data,56,343,436,570,658,858,871,984,1239,8855,1
Raw data,57,386,488,675,779,922,970,1131,1365,7619,1
Raw data,58,332,498,630,793,883,882,1059,1184,6030,1
Raw data,59,308,410,504,656,734,769,845,1042,5355,1
Raw data,60,299,394,479,622,718,764,809,1013,5392,1
Raw data,61,305,394,480,618,711,762,805,1002,5753,1
Raw data,62,292,436,501,607,648,703,730,949,4891,1
Raw data,63,271,340,412,531,612,651,696,848,4648,1
Raw data,64,277,347,427,533,618,674,708,879,4791,1
Raw data,65,292,371,450,580,687,738,793,983,5199,1
Raw data,66,303,374,459,605,674,755,783,982,5240,1
Raw data,67,284,359,447,571,661,697,765,946,5215,1
Raw data,68,285,370,452,582,676,720,773,969,5122,1
Raw data,69,285,371,454,580,665,699,754,949,4937,1
Raw data,70,260,341,425,539,616,664,748,900,4212,1
Raw data,71,255,331,422,535,629,669,779,901,4229,1
Raw data,72,258,336,423,537,639,677,753,913,5117,1
Raw data,73,290,374,458,586,692,729,793,976,5432,1
Raw data,74,322,431,526,681,807,835,923,1124,6347,1
Raw data,75,342,468,579,757,860,878,999,1195,6351,1
Raw data,76,323,439,535,693,804,805,907,1095,6191,1
Raw data,77,324,438,535,679,805,826,905,1117,6152,1
Raw data,78,324,437,536,680,808,804,904,1090,6066,1
Raw data,79,312,427,523,654,773,782,868,1065,5478,1
Raw data,80,293,392,481,596,688,716,814,969,5081,1
Raw data,81,291,390,482,606,732,738,833,1017,5666,1
Raw data,82,323,446,550,664,873,867,1003,1282,7180,1
Raw data,83,300,407,521,657,726,825,904,1109,6619,1
Raw data,84,279,366,466,626,682,784,874,1117,5399,1
Raw data,85,300,386,524,620,749,782,957,1346,6606,1
Raw data,86,291,373,479,606,712,824,933,1137,5913,1
Raw data,87,286,374,488,622,730,757,951,1095,5811,1
Raw data,88,290,388,517,634,774,732,990,1061,6209,1
Raw data,89,289,413,502,680,800,787,1026,1232,7095,1
Raw data,90,317,428,536,674,794,830,961,1190,6903,1
Raw data,91,299,426,532,697,774,806,985,1160,6297,1
Raw data,92,282,398,504,623,751,742,928,1119,6215,1
Raw data,93,282,382,492,658,737,772,971,1103,6141,1
Raw data,94,267,379,478,592,677,730,874,1185,5850,1
Raw data,95,309,382,540,627,840,765,1113,1268,6909,1
Raw data,96,322,431,556,704,876,832,1236,1345,6623,1
Raw data,97,307,438,546,712,852,822,1032,1091,6841,1
Raw data,98,318,465,566,732,785,817,902,1048,5732,1
Raw data,99,335,406,507,683,713,796,867,988,5136,1
Raw data,100,285,370,450,569,650,705,839,928,4450,1
Raw data,101,304,378,469,624,692,725,843,896,4852,1
Raw data,102,271,350,439,556,666,682,810,884,4960,1
Raw data,103,268,426,554,731,873,834,1179,1044,5493,1
Raw data,104,278,433,507,707,804,817,1117,1195,6265,1
Raw data,105,314,439,550,706,842,873,1003,1236,6782,1
