Function,Sample num,F1 (410nm),F2 (440nm),F3 (470nm),F4 (510nm),F5 (550nm),F6 (583nm),F7 (620nm),F8 (670nm),CLEAR,SAIDA
Raw data,1,254,347,439,558,674,710,846,1007,4331,1
Raw data,2,255,350,442,562,677,717,850,1015,4359,1
Raw data,3,256,350,439,563,675,717,850,1018,4353,1
Raw data,4,254,347,437,554,669,705,837,1001,4278,1
Raw data,5,252,342,434,550,667,703,835,994,4236,1
Raw data,6,250,331,426,534,654,692,816,960,4288,1
Raw data,7,247,330,415,540,679,713,843,1011,4637,1
Raw data,8,274,361,469,604,734,769,917,1109,4898,1
Raw data,9,270,351,449,576,705,750,853,1066,4822,1
Raw data,10,267,350,439,566,694,744,835,1047,4737,1
Raw data,11,265,342,433,561,695,734,831,1020,4696,1
Raw data,12,269,345,426,565,682,761,822,1028,4810,1
Raw data,13,268,344,431,571,684,755,834,1018,4407,1
Raw data,14,262,324,407,537,645,724,786,950,4355,1
Raw data,15,268,347,434,568,710,761,825,1051,4776,1
Raw data,16,278,362,462,592,746,812,910,1166,4956,1
Raw data,17,272,347,431,558,701,723,794,991,4846,1
Raw data,18,285,362,445,589,724,777,829,1047,4458,1
Raw data,19,241,310,382,498,595,648,715,847,3811,1
Raw data,20,238,307,379,492,606,641,729,853,3854,1
Raw data,21,260,337,417,545,680,742,804,992,4527,1
Raw data,22,275,350,430,569,695,775,800,1043,4530,1
Raw data,23,268,333,418,549,666,723,777,944,4508,1
Raw data,24,238,294,362,463,551,622,654,795,3630,1
Raw data,25,254,309,375,486,613,671,694,848,4552,1
Raw data,26,235,300,362,484,559,592,643,740,3901,1
Raw data,27,222,285,341,447,547,591,635,740,3962,1
Raw data,28,245,296,358,463,555,614,648,785,3704,1
Raw data,29,251,321,395,518,669,711,780,964,4391,1
Raw data,30,270,337,419,552,639,682,749,932,4478,1
Raw data,31,262,335,413,552,664,712,780,953,4525,1
Raw data,32,262,337,416,542,690,720,790,979,4608,1
Raw data,33,254,330,409,519,635,672,746,909,4139,1
Raw data,34,257,330,410,536,647,708,764,933,4112,1
Raw data,35,232,283,353,450,568,642,676,828,4127,1
Raw data,36,254,312,385,504,601,665,725,846,4032,1
Raw data,37,238,290,359,486,586,645,719,821,4089,1
Raw data,38,252,310,381,506,644,686,750,881,4769,1
Raw data,39,221,274,340,440,521,574,646,749,3602,1
Raw data,40,223,281,349,462,542,608,694,788,3516,1
Raw data,41,217,277,341,448,525,574,664,764,3956,1
Raw data,42,252,318,389,505,611,669,713,904,4196,1
Raw data,43,259,326,401,525,673,730,766,963,4622,1
Raw data,44,275,356,429,584,709,762,815,1042,4861,1
Raw data,45,277,361,437,592,733,787,838,1056,4701,1
Raw data,46,269,340,425,550,675,738,781,975,4565,1
Raw data,47,270,331,411,544,641,719,750,909,4107,1
Raw data,48,244,301,378,492,600,677,726,857,4123,1
Raw data,49,252,326,405,517,648,688,736,915,4500,1
Raw data,50,277,352,429,578,724,781,826,1045,4756,1
Raw data,51,271,344,429,545,679,723,793,996,4516,1
Raw data,52,271,345,429,551,678,725,796,989,4434,1
Raw data,53,266,341,420,541,669,703,770,952,4569,1
Raw data,54,279,366,446,596,682,722,779,975,4426,1
Raw data,55,247,304,381,493,558,635,692,823,3662,1
Raw data,56,242,298,363,472,556,622,678,786,3787,1
Raw data,57,256,328,409,529,672,715,790,935,4568,1
Raw data,58,282,364,443,589,695,730,788,989,4597,1
Raw data,59,272,342,430,553,696,722,795,981,4841,1
Raw data,60,275,343,423,552,686,729,790,962,4851,1
Raw data,61,266,325,415,536,666,732,782,954,4644,1
Raw data,62,263,317,402,519,636,709,766,931,4382,1
Raw data,63,260,323,402,540,651,710,771,927,4412,1
Raw data,64,257,317,397,524,638,702,758,900,4245,1
Raw data,65,252,318,389,522,624,693,739,895,4008,1
Raw data,66,248,311,385,510,624,685,741,887,3988,1
Raw data,67,246,310,385,505,625,682,738,886,3913,1
Raw data,68,239,304,375,492,591,643,724,840,3833,1
Raw data,69,249,317,392,517,626,688,741,896,3947,1
Raw data,70,246,310,385,508,619,671,734,871,3931,1
Raw data,71,250,320,393,519,636,711,752,929,4066,1
Raw data,72,254,323,396,529,628,707,742,917,3981,1
Raw data,73,248,318,392,517,632,705,745,914,3994,1
Raw data,74,251,319,393,520,628,705,740,910,4003,1
Raw data,75,257,326,402,530,642,712,750,937,3984,1
Raw data,76,227,278,348,436,538,589,648,770,3666,1
Raw data,77,278,339,424,560,689,760,803,1000,4713,1
Raw data,78,270,340,423,547,664,726,775,990,4569,1
Raw data,79,268,345,440,557,710,759,852,1065,4563,1
Raw data,80,286,367,463,602,771,797,935,1125,4991,1
Raw data,81,299,382,483,620,771,826,896,1134,5069,1
Raw data,82,282,364,445,601,721,798,857,1102,5006,1
Raw data,83,283,369,451,603,722,801,860,1105,5022,1
Raw data,84,289,367,457,593,734,802,856,1099,5113,1
Raw data,85,288,364,456,590,728,797,866,1090,5121,1
Raw data,86,287,364,454,594,733,799,873,1089,5100,1
Raw data,87,296,382,470,610,748,819,879,1101,5160,1
Raw data,88,326,404,501,665,829,921,933,1229,5825,1
Raw data,89,338,420,522,689,849,938,957,1256,5595,1
Raw data,90,275,347,437,566,698,767,865,1022,4774,1
