,y_rf,y_dt,y_svm,y_rl,y_nb
0,2.0,2.0,2.0,2.0,2.0
1,0.0,0.0,0.0,0.0,0.0
2,3.0,3.0,3.0,3.0,2.0
3,3.0,3.0,3.0,3.0,3.0
4,1.0,1.0,1.0,1.0,0.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,0.0,0.0,2.0,2.0,0.0
8,0.0,0.0,2.0,0.0,0.0
9,1.0,1.0,1.0,1.0,1.0
10,3.0,3.0,3.0,3.0,2.0
11,0.0,0.0,2.0,2.0,0.0
12,3.0,3.0,3.0,3.0,3.0
13,2.0,2.0,2.0,2.0,0.0
14,0.0,0.0,0.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0
16,3.0,3.0,3.0,3.0,3.0
17,3.0,3.0,3.0,3.0,3.0
18,3.0,3.0,3.0,3.0,3.0
19,0.0,0.0,0.0,2.0,0.0
20,2.0,2.0,3.0,3.0,3.0
21,1.0,1.0,0.0,1.0,2.0
22,1.0,1.0,1.0,1.0,1.0
23,2.0,2.0,2.0,2.0,2.0
24,0.0,0.0,0.0,0.0,0.0
25,1.0,1.0,1.0,1.0,1.0
26,0.0,0.0,0.0,0.0,0.0
27,2.0,2.0,2.0,2.0,2.0
28,2.0,2.0,2.0,0.0,0.0
29,1.0,1.0,1.0,1.0,1.0
30,3.0,3.0,3.0,3.0,3.0
31,0.0,0.0,0.0,0.0,0.0
