,y_rf,y_dt,y_svm,y_rl,y_nb
0,1.0,1.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,1.0,1.0,1.0,1.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,1.0,1.0,1.0
7,1.0,1.0,1.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0
11,0.0,0.0,1.0,1.0,0.0
12,0.0,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,1.0
15,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0
17,0.0,0.0,0.0,0.0,0.0
18,1.0,1.0,1.0,1.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,1.0,1.0,1.0,1.0,1.0
21,1.0,0.0,1.0,1.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,1.0,1.0,1.0,1.0,0.0
24,1.0,0.0,1.0,1.0,0.0
25,1.0,1.0,1.0,1.0,1.0
