,y_rf,y_dt,y_svm,y_rl,y_nb
0,1.0,1.0,1.0,1.0,1.0
1,0.0,0.0,0.0,2.0,0.0
2,1.0,1.0,1.0,1.0,0.0
3,3.0,3.0,3.0,3.0,3.0
4,3.0,3.0,3.0,3.0,3.0
5,0.0,0.0,2.0,2.0,0.0
6,2.0,2.0,2.0,0.0,0.0
7,3.0,3.0,3.0,3.0,3.0
8,1.0,1.0,0.0,1.0,2.0
9,3.0,3.0,3.0,3.0,2.0
10,2.0,2.0,3.0,3.0,3.0
11,0.0,0.0,0.0,0.0,0.0
12,3.0,3.0,3.0,3.0,3.0
13,1.0,1.0,1.0,1.0,1.0
14,3.0,3.0,3.0,3.0,3.0
15,1.0,1.0,1.0,1.0,1.0
16,2.0,2.0,2.0,2.0,2.0
17,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0
20,0.0,0.0,2.0,2.0,0.0
21,3.0,3.0,3.0,3.0,2.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,2.0,2.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,1.0,1.0,1.0,1.0,1.0
27,0.0,0.0,0.0,1.0,1.0
28,0.0,0.0,2.0,0.0,0.0
29,2.0,2.0,2.0,2.0,2.0
30,2.0,2.0,2.0,2.0,2.0
31,3.0,3.0,3.0,3.0,3.0
